letter,font,min_x,min_y,max_x,max_y
B,WaseemLight,460,445,548,589
B,Webdings,400,441,599,619
B,Wingdings-Regular,437,433,572,596
B,Wingdings2,422,462,577,544
B,Wingdings3,427,448,572,556
B,Yantramanav-Regular,457,466,547,593
B,ZapfDingbatsITC,460,437,548,581
B,Zapfino,411,463,642,692
C,ACaslonPro-Regular,434,429,566,576
C,AGaramondPro-Regular,438,437,565,576
C,AdobeArabic-Regular,456,480,547,577
C,AdobeDevanagari-Regular,447,448,557,574
C,AdobeFanHeitiStd-Bold,446,432,554,590
C,AdobeFangsongStd-Regular,448,437,553,590
C,AdobeGothicStd-Bold,447,432,554,589
C,AdobeHebrew-Regular,440,437,564,575
C,AdobeHeitiStd-Regular,446,432,554,590
C,AdobeKaitiStd-Regular,447,437,552,590
C,AdobeMingStd-Light,440,440,559,589
C,AdobeMyungjoStd-Medium,440,440,559,591
C,AdobeNaskh-Medium,457,465,544,561
C,AdobeSongStd-Light,440,459,565,590
C,AlBayan,441,451,558,603
C,AlNile,441,434,558,586
C,AlTarikh,441,407,558,559
C,AmericanTypewriter,443,453,555,595
C,AndaleMono,452,450,544,593
C,Apple-Chancery,452,476,567,615
C,AppleBraille,451,422,546,583
C,AppleColorEmoji,451,443,546,604
C,AppleGothic,439,430,560,592
C,AppleMyungjo,440,439,560,590
C,AppleSDGothicNeo-Regular,452,445,548,583
C,AppleSymbols,460,456,541,570
C,Arial-Black,431,465,570,613
C,ArialHebrew,441,424,558,576
C,ArialHebrewScholar,441,424,558,576
C,ArialMT,438,445,564,593
C,ArialNarrow,448,448,552,596
C,ArialRoundedMTBold,436,449,563,597
C,ArialUnicodeMS,438,461,564,609
C,Athelas-Regular,442,455,559,590
C,Avenir-Black,438,454,566,603
C,AvenirNext-Regular,439,454,565,603
C,AvenirNextCondensed-Regular,462,455,544,603
C,Ayuthaya,451,450,546,611
C,Baghdad,441,443,558,595
C,BanglaMN,426,455,574,609
C,BanglaSangamMN,440,442,559,585
C,Baskerville,438,455,558,592
C,Beirut,438,428,563,580
C,BigCaslon-Medium,427,447,567,594
C,BirchStd,476,425,524,574
C,BlackoakStd,351,425,650,574
C,BodoniOrnamentsITCTT,474,429,536,601
C,BodoniSvtyTwoITCTT-Book,443,453,556,596
C,BodoniSvtyTwoOSITCTT-Book,443,453,556,596
C,BodoniSvtyTwoSCITCTT-Book,443,453,556,596
C,BradleyHandITCTT-Bold,445,478,564,588
C,BrushScriptMT,447,458,572,618
C,BrushScriptStd,427,429,575,595
C,Chalkboard,450,464,552,602
C,ChalkboardSE-Regular,448,480,552,618
C,Chalkduster,423,452,574,610
C,Champagne&Limousines,441,444,559,585
C,ChaparralPro-Regular,452,442,552,575
C,CharlemagneStd-Bold,430,414,575,574
C,Charter-Black,440,461,559,600
C,Cochin,439,456,572,593
C,ComicSansMS,448,462,557,613
C,CooperBlackStd,428,428,572,573
C,Copperplate,438,470,557,577
C,CorsivaHebrew,441,414,558,566
C,Courier,447,457,547,578
C,CourierNewPS-BoldMT,446,462,553,586
C,CourierNewPSMT,452,467,547,587
C,DINAlternate-Bold,454,450,554,595
C,DINCondensed-Bold,467,428,533,573
C,Damascus,441,409,558,561
C,DamascusBold,438,409,563,561
C,DamascusLight,441,409,558,561
C,DamascusMedium,438,409,563,561
C,DamascusSemiBold,438,409,563,561
C,DecoTypeNaskh,441,469,558,621
C,DevanagariMT,438,458,559,596
C,DevanagariSangamMN,440,453,559,596
C,Didot,443,449,562,597
C,DiwanKufi,441,491,558,643
C,DiwanMishafi,441,430,558,582
C,DiwanMishafiGold,441,430,558,582
C,DiwanThuluth,441,453,558,605
C,EuphemiaUCAS,446,453,559,612
C,Farah,441,427,558,579
C,Farisi,441,462,558,614
C,Futura-Medium,440,450,559,606
C,GB18030Bitmap,451,456,546,617
C,GeezaPro,441,441,558,593
C,Geneva,444,443,557,604
C,Georgia,443,450,561,595
C,GiddyupStd,447,421,554,569
C,GillSans,438,453,561,593
C,GujaratiMT,438,456,559,594
C,GujaratiSangamMN,427,433,572,609
C,GurmukhiMN,434,462,564,597
C,GurmukhiSangamMN,440,460,559,603
C,Helvetica,436,429,563,580
C,HelveticaNeue,436,449,564,599
C,Herculanum,461,462,550,580
C,HiraKakuPro-W3,434,432,565,589
C,HiraKakuProN-W3,434,432,565,589
C,HiraKakuStd-W8,423,424,578,597
C,HiraKakuStdN-W8,423,424,578,597
C,HiraMaruPro-W4,436,430,566,592
C,HiraMaruProN-W4,436,430,566,592
C,HiraMinPro-W3,441,433,565,584
C,HiraMinProN-W3,441,433,565,584
C,HiraginoSans-W3,434,432,565,589
C,HiraginoSansGB-W3,434,432,565,589
C,HoboStd,441,416,558,588
C,HoeflerText-Regular,436,432,568,577
C,ITFDevanagari-Book,438,470,559,608
C,ITFDevanagariMarathi-Book,438,470,559,608
C,Impact,452,439,549,604
C,InaiMathi,448,451,551,586
C,IowanOldStyle-Black,430,461,573,607
C,Kailasa,441,436,558,588
C,KannadaMN,436,457,562,592
C,KannadaSangamMN,440,458,559,601
C,Kefa-Regular,452,458,550,595
C,KhmerMN,442,480,558,601
C,KhmerSangamMN,441,469,561,615
C,KohinoorBangla-Regular,455,462,549,606
C,KohinoorDevanagari-Regular,455,462,549,606
C,KohinoorTelugu-Regular,455,462,549,606
C,Kokonor,452,469,567,608
C,KozGoPr6N-Regular,446,433,554,590
C,KozGoPro-Regular,446,433,554,590
C,KozMinPr6N-Regular,447,437,552,590
C,KozMinPro-Regular,447,437,552,590
C,Krungthep,449,452,549,601
C,KufiStandardGK,441,446,558,598
C,LaoMN,434,457,564,592
C,LaoSangamMN,440,461,559,604
C,LetterGothicStd,459,428,540,577
C,LithosPro-Regular,446,429,558,576
C,Lucida Bright Demibold,436,447,562,599
C,Lucida Bright Demibold Italic,448,447,587,599
C,Lucida Bright Italic,451,447,584,599
C,Lucida Bright Regular,440,447,557,599
C,Lucida Sans Demibold,438,447,563,599
C,Lucida Sans Regular,441,446,558,598
C,Lucida Sans Typewriter Bold,444,446,555,598
C,Lucida Sans Typewriter Regular,450,447,552,599
C,LucidaBright,440,447,557,599
C,LucidaGrande,441,448,558,600
C,LucidaSans,441,446,558,598
C,Luminari-Regular,440,439,572,622
C,MalayalamMN,434,468,564,603
C,MalayalamSangamMN,440,442,559,585
C,Marion-Regular,444,435,560,572
C,MarkerFelt-Thin,459,424,544,592
C,Menlo-Regular,453,444,544,595
C,MesquiteStd,479,424,522,577
C,MicrosoftSansSerif,437,447,562,595
C,MinionPro-Regular,442,440,562,575
C,Monaco,451,443,546,604
C,MonotypeGurmukhi,441,438,558,590
C,Montserrat-Regular,438,455,562,598
C,Mshtakan,438,455,559,593
C,MshtakanBold,435,452,562,593
C,MshtakanBoldOblique,437,453,566,593
C,MshtakanOblique,443,457,567,593
C,Muna,441,425,558,577
C,MunaBlack,438,425,563,577
C,MunaBold,438,425,563,577
C,MyanmarMN,434,465,564,600
C,MyanmarSangamMN,440,453,559,596
C,MyriadArabic-Regular,464,470,537,569
C,MyriadHebrew-Regular,449,438,551,577
